"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"1","30270-7724","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"2","30270-7719","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"3","30270-7722","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","Minor"
"4","30270-7721","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"5","30270-7720","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"6","30270-7719","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"7","30270-7718","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"8","30413-7704","Sienna","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"9","988-7703","579","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"10","1420-7671","ID.Buzz","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"11","30531-7696","I-Pace","Dark - Not Lighted"," "," ","Y",NA," ",NA," "," ","","Unknown"
"12","30530-7680","Peterbilt 579","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"13","30270-7681","I-Pace","Dark - Not Lighted"," "," ","Y",NA," ",NA," "," ","","Unknown"
"14","30610-7674","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"15","30270-7647","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"16","30270-7639","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"17","30610-7589","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"18","30270-7637","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"19","30270-7631","I-Pace","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"20","30610-7578","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"21","30270-7598","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"22","30270-7157","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"23","30270-7257","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"24","30610-7589","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"25","30610-7578","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"26","30270-7573","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"27","30270-7551","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"28","988-7550","579","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"29","30531-7548","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"30","30531-7546","I-Pace","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"31","30531-7545","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"32","30270-7523","I-Pace","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"33","30270-7525","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"34","30270-7540","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"35","30270-7541","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"36","30270-7542","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"37","30270-7543","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"38","30270-7533","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"39","30270-7522","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"40","30270-7515","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"41","30270-7538","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"42","30270-7536","I-Pace","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"43","30270-7534","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"44","30270-7532","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"45","30270-7531","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","Minor"
"46","30270-7530","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"47","30270-7529","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"48","30270-7528","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"49","30270-7527","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"50","30530-7475","579","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"51","30291-7361","Prius","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"52","30610-7464","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"53","30610-7465","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"54","30270-7425","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"55","30270-7424","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"56","30270-7423","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"57","30270-7421","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"58","30410-7276","Ioniq 5","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"59","30270-7318","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"60","30270-7318","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"61","30270-7380","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","Minor"
"62","30531-7368","I-Pace","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"63","30413-7307","Sienna","Daylight"," ","Y"," ",NA," ",NA," "," ","","No Injuries Reported"
"64","669-7320","IONIQ 5","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"65","1420-7244","ID.Buzz","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"66","30270-7316","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Unknown"
"67","30270-7315","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"68","30270-7313","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"69","30270-7312","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"70","30270-7311","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"71","30270-7310","I-Pace","Dark - Lighted"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"72","30270-7309","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"73","30270-7318","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"74","30270-7308","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"75","988-7317","579","Dawn / Dusk"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"76","30610-7293","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"77","30610-7292","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"78","30610-7291","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"79","30270-7306","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"80","30410-7276","Ioniq 5","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"81","30270-7257","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"82","30531-7239","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Minor"
"83","30270-7237","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Minor"
"84","30270-7190","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"85","30270-7164","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"86","30270-7190","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"87","30270-7075","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","Minor"
"88","30531-7177","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"89","30531-7176","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"90","30270-7164","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"91","30270-6932","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","Unknown"
"92","30270-7162","I-Pace","Dark - Lighted"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"93","30270-7161","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"94","30270-7160","I-Pace","Daylight"," "," ","Y",NA," ",NA," "," ","","Unknown"
"95","30270-7159","I-Pace","Dawn / Dusk","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"96","30270-7158","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"97","30270-7157","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"98","30270-7156","I-Pace","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"99","30270-7034","I-Pace","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"100","30530-7141","579","Dawn / Dusk"," "," ","Y",NA," ",NA," "," ","","No Injuries Reported"
"101","30792-7147","LEAF","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"102","1420-7081","ID.Buzz","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"103","30291-7106","Prius","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"104","30291-7107","Prius","Daylight"," "," "," ",NA,"Y",NA," "," ","","No Injuries Reported"
"105","30610-7111","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"106","30610-7110","Highlander","Daylight","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
"107","30610-6950","Highlander","Dark - Lighted","Y"," "," ",NA," ",NA," "," ","","No Injuries Reported"
