"","Report.ID","Model","Lighting","Weather...Clear","Weather...Snow","Weather...Cloudy","Weather...Fog.Smoke","Weather...Rain","Weather...Severe.Wind","Weather...Unknown","Weather...Other","Weather...Other.Text","Highest.Injury.Severity.Alleged"
"1","1420-7878","ID.4","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"2","29990-7911","R1S","Dark - Unknown Lighting","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"3","13781-7909","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"4","13781-7908","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"5","13781-7907","Model X","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"6","13781-7906","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"7","13781-7905","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"8","13781-7903","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"9","13781-7902","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"10","13781-7899","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"11","13781-7898","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"12","13781-7897","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"13","13781-7895","Model 3","Dark - Lighted"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"14","1306-7737","bZ4X","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"15","945-7635","Ariya","Dark - Unknown Lighting"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"16","945-7588","Ariya","Daylight"," "," "," "," "," ",NA,"Y"," ","","No Injuries Reported"
"17","669-7747","Santa Cruz","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"18","855-7869","E450 4Matic Cabriolet","Daylight","Y"," "," "," "," ",NA," "," ","","No Injuries Reported"
"19","13781-7868","Model Y","Daylight"," "," ","Y","Y","Y",NA," "," ","","Unknown"
"20","13781-7867","Model Y","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"21","13781-7866","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"22","13781-7865","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"23","13781-7864","Model Y","Daylight"," "," ","Y"," ","Y",NA," "," ","","Unknown"
"24","13781-7863","Model 3","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"25","13781-7861","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"26","13781-7861","Model Y","Dark - Not Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"27","1243-7850","Forester","Daylight","Y"," "," "," "," ",NA," "," ","","Minor"
"28","13781-7838","Model 3","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"29","13781-7837","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"30","13781-7836","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"31","13781-7835","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"32","13781-7834","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"33","540-7731","Tahoe","Daylight"," "," ","Y"," "," ",NA," "," ","","Unknown"
"34","13781-7825","Model Y","Unknown"," "," "," "," "," ",NA,"Y"," ","","Unknown"
"35","13781-7824","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"36","13781-7823","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"37","13781-7796","Model Y","Dark - Lighted"," "," ","Y"," "," ",NA," "," ","","No Injuries Reported"
"38","855-7779","AMG EQE 53 4MATIC Sedan","Daylight","Y"," "," "," "," ",NA," "," ","","Moderate"
"39","13781-7812","Model X","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"40","13781-7811","Model 3","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"41","13781-7810","Model 3","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
"42","13781-7809","Model Y","Dark - Lighted","Y"," "," "," "," ",NA," "," ","","Unknown"
"43","10561-7760","Mach E","Unknown"," "," "," "," "," ",NA,"Y"," ","","Fatality"
"44","669-7747","Santa Cruz","Daylight","Y"," "," "," "," ",NA," "," ","","Unknown"
